Type,GitBook Path,Cookbook Path,Status
matched,tutorials/inference/lm-invoker/mcp-connector.md,tutorials/inference/lm_invoker/mcp_connector/,CONTENT_DRIFT
matched,tutorials/inference/lm-invoker/mcp-server.md,tutorials/inference/lm_invoker/mcp_server/,CONTENT_DRIFT
matched,tutorials/inference/lm-invoker/output-transformer.md,tutorials/inference/lm_invoker/output_transformer/,CONTENT_DRIFT
matched,tutorials/inference/lm-invoker/prompt-operations.md,tutorials/inference/lm_invoker/prompt_operations/,CONTENT_DRIFT
matched,tutorials/inference/lm-invoker/skills.md,tutorials/inference/lm_invoker/skills/,CONTENT_DRIFT
matched,tutorials/inference/lm-invoker/web-search.md,tutorials/inference/lm_invoker/web_search/,CONTENT_DRIFT
matched,tutorials/inference/lm-request-processor.md,tutorials/inference/lm_request_processor/,CONTENT_DRIFT
matched,tutorials/inference/prompt-builder.md,tutorials/inference/prompt_builder/,CONTENT_DRIFT
matched,tutorials/inference/realtime-session.md,tutorials/inference/realtime_session/,CONTENT_DRIFT
matched,tutorials/inference/schema.md,tutorials/inference/schema/,CONTENT_DRIFT
matched,tutorials/orchestration/pipeline.md,tutorials/orchestration/pipeline/,CONTENT_DRIFT
matched,tutorials/retrieval/chunk-processor.md,tutorials/retrieval/chunk_processor/,CONTENT_DRIFT
matched,tutorials/retrieval/query-transformer.md,tutorials/retrieval/query_transformer/,CONTENT_DRIFT
matched,tutorials/retrieval/reranker.md,tutorials/retrieval/reranker/,CONTENT_DRIFT
matched,tutorials/retrieval/retrieval-parameter-extractor.md,tutorials/retrieval/retrieval_parameter_extractor/,CONTENT_DRIFT
missing_in_cookbook,guides/build-document-processing-pipeline/advanced-dpo-pipeline.md,,
missing_in_cookbook,guides/build-document-processing-pipeline/simple-dpo-pipeline-loader/process-docx-file.md,,
missing_in_cookbook,guides/build-end-to-end-rag-pipeline/multi-turn-conversation.md,,
missing_in_cookbook,guides/build-end-to-end-rag-pipeline/whats-new.md,,
missing_in_cookbook,guides/debug-a-pipeline.md,,
